CodigoDiagnostico;Descripcion
I233;RUPTURA DE LA PARED CARDIACA SIN HEMOPERICARDIO COMO COMPILACION PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO
I234;RUPTURA DE LAS CUERDAS TENDINOSAS COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO
I235;RUPTURA DE MUSCULO PAPILAR COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO
I236;TROMBOSIS DE LA AURICULA, APENDICE AURICULAR Y VENTRICULO COMO COMPLICACION PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO
I238;OTRAS COMPLICACIONES PRESENTES POSTERIORES AL INFARTO AGUDO DEL MIOCARDIO
I240;TROMBOSIS CORONARIA QUE NO RESULTA EN INFARTO DEL MIOCARDIO
I241;SINDROME DE DRESSLER
I248;OTRAS FORMAS DE ENFERMEDAD ISQUEMICA AGUDA DEL CORAZON
I249;ENFERMEDAD ISQUEMICA AGUDA DEL CORAZON, NO ESPECIFICADA
I250;ENFERMEDAD CARDIOVASCULAR ATEROSCLEROTICA, ASI DESCRITA
I251;ENFERMEDAD ATEROSCLEROTICA DEL CORAZON
I252;INFARTO ANTIGUO DEL MIOCARDIO
I253;ANEURISMA CARDIACO
I254;ANEURISMA DE ARTERIA CORONARIA
I255;CARDIOMIOPATIA ISQUEMICA
I256;ISQUEMIA SILENTE DEL MIOCARDIO
I258;OTRAS FORMAS DE ENFERMEDAD ISQUEMICA CRONICA DEL CORAZON
I259;ENFERMEDAD ISQUEMIA CRONICA DEL CORAZON, NO ESPECIFICADA
I260;EMBOLIA PULMONAR CON MENCION DE CORAZON PULMONAR AGUDO
I269;EMBOLIA PULMONAR SIN MENCION DE CORAZON PULMONAR AGUDO
I270;HIPERTENSION PULMONAR PRIMARIA
I271;ENFERMEDAD CIFOSCOLIOTICA DEL CORAZON
I272;OTRAS HIPERTENSIONES PULMONARES SECUNDARIAS
I278;OTRAS ENFERMEDADES CARDIOPULMONARES ESPECIFICADAS
I279;ENFERMEDAD PULMONAR DEL CORAZON, NO ESPECIFICADA
I280;FISTULA ARTERIOVENOSA DE LOS VASOS PULMONARES
I281;ANEURISMA DE LA ARTERIA PULMONAR
I288;OTRAS ENFERMEDADES ESPECIFICADAS DE LOS VASOS PULMONARES
I289;ENFERMEDAD DE LOS VASOS PULMONARES, NO ESPECIFICADA
I300;PERICARDITIS IDIOPATICA AGUDA INESPECIFICA
I301;PERICARDITIS INFECCIOSA
I308;OTRAS FORMAS DE PERICARDITIS AGUDA
I309;PERICARDITIS AGUDA, NO ESPECIFICADA
I310;PERICARDITIS CRONICA ADHESIVA
I311;PERICARDITIS CONSTRICTIVA CRONICA
I312;HEMOPERICARDIO, NO CLASIFICADO EN OTRA PARTE
I313;DERRAME PERICARDICO (NO INFLAMATORIO)
I318;OTRAS ENFERMEDADES ESPECIFICADAS DEL PERICARDIO
I319;ENFERMEDAD DEL PERICARDIO, NO ESPECIFICADA
I320*;PERICARDITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
I321*;PERICARDITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I328*;PERICARDITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I330;ENDOCARDITIS INFECCIOSA AGUDA Y SUBAGUDA
I339;ENDOCARDITIS AGUDA, NO ESPECIFICADA
I340;INSUFICIENCIA (DE LA VALVULA) MITRAL
I341;PROLAPSO (DE LA VALVULA) MITRAL
I342;ESTENOSIS (DE LA VALVULA) MITRAL, NO REUMATICA
I348;OTROS TRASTORNOS NO REUMATICOS DE LA VALVULA MITRAL
I349;TRASTORNO MITRAL NO REUMATICO, NO ESPECIFICADO
I350;ESTENOSIS (DE LA VALVULA) AORTICA
I351;INSUFICIENCIA (DE LA VALVULA) AORTICA
I352;ESTENOSIS (DE LA VALVULA) AORTICA CON INSUFICIENCIA
I358;OTROS TRASTORNOS DE LA VALVULA AORTICA
I359;TRASTORNO DE LA VALVULA AORTICA, NO ESPECIFICADO
I360;ESTENOSIS NO REUMATICA (DE LA VALVULA) TRICUSPIDE)
I361;INSUFICIENCIA NO REUMATICA (DE LA VALVULA) TRICUSPIDE
I362;ESTENOSIS CON INSUFICIENCIA NO REUMATICA (DE LA VALVULA) TRICUSPIDE
I368;OTROS TRASTORNOS NO REUMATICOS DE LA VALVULA TRICUSPIDE
I369;TRASTORNO NO REUMATICO DE LA VALVULA TRICUSPIDE, NO ESPECIFICADO
I370;ESTENOSIS DE LA VALVULA PULMONAR
I371;INSUFICIENCIA DE LA VALVULA PULMONAR
I372;ESTENOSIS DE LA VALVULA PULMONAR CON INSUFICIENCIA
I378;OTROS TRASTORNOS DE LA VALVULA PULMONAR
I379;TRASTORNO DE LA VALVULA PULMONAR, NO ESPECIFICADO
I38;ENDOCARDITIS, VALVULA NO ESPECIFICADA
I390*;TRASTORNOS DE LA VALVULA MITRAL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I391*;TRASTORNOS DE LA VALVULA AORTICA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I392*;TRASTORNOS DE LA VALVULA TRICUSPIDE EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I393*;TRASTORNOS DE LA VALVULA PULMONAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I394*;TRASTORNOS DE LA VALVULARES MULTIPLES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I398*;ENDOCARDITIS, VALVULA NO ESPECIFICADA, EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I400;MIOCARDITIS INFECCIOSA
I401;MIOCARDITIS AISLADA
I408;OTRAS MIOCARDITIS AGUDAS
I409;MIOCARDITIS AGUDA, NO ESPECIFICADA
I410*;MIOCARDITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
I411*;MIOCARDITIS EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE
I412*;MIOCARDITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I418*;MIOCARDITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I420;CARDIOMIOPATIA DILATADA
I421;CARDIOMIOPATIA HIPERTROFICA OBSTRUCTIVA
I422;OTRAS CARDIOMIOPATIA HIPERTROFICAS
I423;ENFERMEDAD ENDOMIOCARDICA (EOSINOFILICA)
I424;FIBROELASTOSIS ENDOCARDICA
I425;OTRAS CARDIOMIOPATIAS RESTRICTIVAS
I426;CARDIOMIOPATIA ALCOHOLICA
I427;CARDIOMIOPATIA DEBIDA A DROGAS Y A OTROS AGENTES EXTERNOS
I428;OTRAS CARDIOMIOPATIA
I429;CARDIOMIOPATIA, NO ESPECIFICADA
I430*;CARDIOMIOPATIA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I431*;CARDIOMIOPATIA EN ENFERMEDADES METABOLICAS
I432*;CARDIOMIOPATIA EN ENFERMEDADES NUTRICIONALES
I438*;CARDIOMIOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I440;BLOQUEO AURICULOVENTRICULAR DE PRIMER GRADO
I441;BLOQUEO AURICULOVENTRICULAR DE SEGUNDO GRADO
I442;BLOQUEO AURICULOVENTRICULAR COMPLETO
I443;OTROS TIPOS DE BLOQUEO AURICULOVENTRICULAR Y LOS NO ESPECIFICADOS
I444;BLOQUEO FASCICULAR ANTERIOR IZQUIERDO
I445;BLOQUEO FASCICULAR POSTERIOR IZQUIERDO
I446;OTROS TIPOS DE BLOQUEO FASCICULAR Y LOS NO ESPECIFICADOS
I447;BLOQUEO DE RAMA IZQUIERDA DEL HAZ, SIN OTRA ESPECIFICACION
I450;BLOQUEO FASCICULAR DERECHO
I451;OTROS TIPOS DE BLOQUEO DE RAMA DERECHA DEL HAZ Y LOS NO ESPECIFICADOS
I452;BLOQUEO BIFASCICULAR
I453;BLOQUEO TRIFASCICULAR
I454;BLOQUEO INTRAVENTRICULAR NO ESPECIFICADO
I455;OTROS TIPOS ESPECIFICADOS DE BLOQUEO DEL CORAZON
I456;SINDROME DE PREEXCITACION
I458;OTROS TRASTORNOS ESPECIFICADOS DE LA CONDUCCION
I459;TRASTORNO DE LA CONDUCCION, NO ESPECIFICADO
I460;PARO CARDIACO CON RESUCITACION EXITOSA
I461;MUERTE CARDIACA SUBITA, ASI DESCRITA
I469;PARO CARDIACO, NO ESPECIFICADO
I470;ARRITMIA POR REENTRADA VENTRICULAR
I471;TAQUICARDIA SUPRAVENTRICULAR
I472;TAQUICARDIA VENTRICULAR
I479;TAQUICARDIA PAROXISTICA, NO ESPECIFICADA
I48;FIBRILACION Y ALETEO AURICULAR
I490;FIBRILACION Y ALETEO VENTRICULAR
I491;DESPOLARIZACION AURICULAR PREMATURA
I492;DESPOLARIZACION PREMATURA NODAL
I493;DESPOLARIZACION VENTRICULAR PREMATURA
I494;OTROS TIPOS DE DESPOLARIZACION PREMATURA Y LOS NO ESPECIFICADOS
I495;SINDROME DEL SENO ENFERMO
I498;OTRAS ARRITMIAS CARDIACAS ESPECIFICADAS
I499;ARRITMIA CARDIACA, NO ESPECIFICADA
I500;INSUFICIENCIA CARDIACA CONGESTIVA
I501;INSUFICIENCIA VENTRICULAR IZQUIERDA
I509;INSUFICIENCIA CARDIACA, NO ESPECIFICADA
I510;DEFECTO DEL TABIQUE CARDIACO, ADQUIRIDO
I511;RUPTURA DE CUERDA TENDINOSA, NO CLASIFICADA EN OTRA PARTE
I512;RUPTURA DEL MUSCULO PAPILAR, NO CLASIFICADA EN OTRA PARTE
I513;TROMBOSIS INTRACARDIACA, NO CLASIFICADA EN OTRA PARTE
I514;MIOCARDITIS, NO ESPECIFICADA
I515;DEGENERACION MIOCARDICA
I516;ENFERMEDAD CARDIOVASCULAR, NO ESPECIFICADA
I517;CARDIOMEGALIA
I518;OTRAS ENFERMEDADES CARDIACAS MAL DEFINIDAS
I519;ENFERMEDAD CARDIACA, NO ESPECIFICADA
I520*;OTROS TRASTORNOS CARDIACOS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
I521*;OTROS TRASTORNOS CARDIACOS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I528*;OTROS TRASTORNOS CARDIACOS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I600;HEMORRAGIA SUBARACNOIDEA DE SIFON Y BIFURCACION CAROTIDEA
I601;HEMORRAGIA SUBARACNOIDEA DE ARTERIA CEREBRAL MEDIA
I602;HEMORRAGIA SUBARACNOIDEA DE ARTERIA COMUNICANTE ANTERIOR
I603;HEMORRAGIA SUBARACNOIDEA DE ARTERIA COMUNICANTE POSTERIOR
I604;HEMORRAGIA SUBARACNOIDEA DE ARTERIA BASILAR
I605;HEMORRAGIA SUBARACNOIDEA DE ARTERIA VERTEBRAL
I606;HEMORRAGIA SUBARACNOIDEA DE OTRAS ARTERIAS INTRACRANEALES
I607;HEMORRAGIA SUBARACNOIDEA DE ARTERIA INTRACRANEAL NO ESPECIFICADA
I608;OTRAS HEMORRAGIAS SUBARACNOIDEAS
I609;HEMORRAGIA SUBARACNOIDEA, NO ESPECIFICADA
I610;HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, SUBCORTICAL
I611;HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, CORTICAL
I612;HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, NO ESPECIFICADA
I613;HEMORRAGIA INTRAENCEFALICA EN TALLO CEREBRAL
I614;HEMORRAGIA INTRAENCEFALICA EN CEREBELO
I615;HEMORRAGIA INTRAENCEFALICA, INTRAVENTRICULAR
I616;HEMORRAGIA INTRAENCEFALICA DE LOCALIZACIONES MULTIPLES
I618;OTRAS HEMORRAGIAS INTRAENCEFALICAS
I619;HEMORRAGIA INTRAENCEFALICA, NO ESPECIFICADA
I620;HEMORRAGIA SUBDURAL (AGUDA) (NO TRAUMATICA)
I621;HEMORRAGIA EXTRADURAL NO TRAUMATICA
I629;HEMORRAGIA INTRACRANEAL (NO TRAUMATICA), NO ESPECIFICADA
I630;INFARTO CEREBRAL DEBIDO A TROMBOSIS DE ARTERIAS PRECEREBRALES
I631;INFARTO CEREBRAL DEBIDO A EMBOLIA DE ARTERIAS PRECEREBRALES
I632;INFARTO CEREBRAL DEBIDO A OCLUSION O ESTENOSIS NO ESPECIFICADA DE ARTERIAS PRECEREBRALES
I633;INFARTO CEREBRAL DEBIDO A TROMBOSIS DE ARTERIAS CEREBRALES
I634;INFARTO CEREBRAL DEBIDO A EMBOLIA DE ARTERIAS CEREBRALES
I635;INFARTO CEREBRAL DEBIDO A OCLUSION O ESTENOSIS NO ESPECIFICADA DE ARTERIAS CEREBRALES
I636;INFARTO CEREBRAL DEBIDO A TROMBOSIS DE VENAS CEREBRALES, NO PIOGENO
I638;OTROS INFARTOS CEREBRALES
I639;INFARTO CEREBRAL, NO ESPECIFICADO
I64;ACCIDENTE VASCULAR ENCEFALICO AGUDO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO
I650;OCLUSION Y ESTENOSIS DE ARTERIA VERTEBRAL
I651;OCLUSION Y ESTENOSIS DE ARTERIA BASILAR
I652;OCLUSION Y ESTENOSIS DE ARTERIA CAROTIDA
I653;OCLUSION Y ESTENOSIS MULTIPLE BILATERAL DE ARTERIAS PRECEREBRALES
I658;OCLUSION Y ESTENOSIS DE OTRAS ARTERIAS PRECEREBRALES
I659;OCLUSION Y ESTENOSIS DE ARTERIA PRECEREBRAL NO ESPECIFICADA
I660;OCLUSION Y ESTENOSIS DE LA ARTERIA CEREBRAL MEDIA
I661;OCLUSION Y ESTENOSIS DE LA ARTERIA CEREBRAL ANTERIOR
I662;OCLUSION Y ESTENOSIS DE LA ARTERIA CEREBRAL POSTERIOR
I663;OCLUSION Y ESTENOSIS DE ARTERIAS CEREBELOSAS
I664;OCLUSION Y ESTENOSIS MULTIPLE BILATERAL DE ARTERIAS CEREBRALES
I668;OCLUSION Y ESTENOSIS DE OTRAS ARTERIAS CEREBRALES
I669;OCLUSION Y ESTENOSIS DE ARTERIA CEREBRAL NO ESPECIFICADA
I670;DISECCION DE ARTERIAS CEREBRALES, SIN RUPTURA
I671;ANEURISMA CEREBRAL, SIN RUPTURA
I672;ATEROSCLEROSIS CEREBRAL
I673;LEUCOENCEFALOPATIA VASCULAR PROGRESIVA
I674;ENCEFALOPATIA HIPERTENSIVA
I675;ENFERMEDAD DE MOYAMOYA
I676;TROMBOSIS APIOGENA DEL SISTEMA VENOSO INTRACRANEAL
I677;ARTERITIS CEREBRAL, NO CLASIFICADA EN OTRA PARTE
I678;OTRAS ENFERMEDADES CEREBROVASCULARES ESPECIFICADAS
I679;ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA
I680*;ANGIOPATIA CEREBRAL AMILOIDE (E85.-†)
I681*;ARTERITIS CEREBRAL EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADA EN OTRA PARTE
I682*;ARTERITIS CEREBRAL EN OTRAS ENFERMEDADES CLASIFICADA EN OTRA PARTE
I688*;OTROS TRASTORNOS CEREBROVASCULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I690;SECUELAS DE HEMORRAGIA SUBARACNOIDEA
I691;SECUELAS DE HEMORRAGIA INTRAENCEFALICA
I692;SECUELAS DE OTRAS HEMORRAGIAS INTRACRANEALES NO TRAUMATICAS
I693;SECUELAS DE INFARTO CEREBRAL
I694;SECUELAS DE ACCIDENTE VASCULAR ENCEFALICO, NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO
I698;SECUELAS DE OTRAS ENFERMEDADES CEREBROVASCULARES Y DE LAS NO ESPECIFICADAS
I700;ATEROSCLEROSIS DE LA AORTA
I701;ATEROSCLEROSIS DE LA ARTERIA RENAL
I702;ATEROSCLEROSIS DE LAS ARTERIAS DE LOS MIEMBROS
I708;ATEROSCLEROSIS DE OTRAS ARTERIAS
I709;ATEROSCLEROSIS GENERALIZADA Y LA NO ESPECIFICADA
I710;DISECCION DE AORTA (CUALQUIER PARTE)
I711;RUPTURA DE ANEURISMA DE LA AORTA TORACICA
I712;ANEURISMA DE LA AORTA TORACICA, SIN MENCION DE RUPTURA
I713;RUPTURA DE ANEURISMA DE LA AORTA ABDOMINAL
I714;ANEURISMA DE LA AORTA ABDOMINAL, SIN MENCION DE RUPTURA
I715;RUPTURA DE ANEURISMA DE LA AORTA TORACOABDOMINAL
I716;ANEURISMA DE LA AORTA TORACOABDOMINAL, SIN MENCION DE RUPTURA
I718;RUPTURA DE ANEURISMA AORTICO, SITIO NO ESPECIFICADO
I719;ANEURISMA DE LA AORTA, SITIO NO ESPECIFICADO, SIN MENCION DE RUPTURA
I720;ANEURISMA DE LA ARTERIA CAROTIDA
I721;ANEURISMA DE LA ARTERIA DEL MIEMBRO SUPERIOR
I722;ANEURISMA DE ARTERIA RENAL
I723;ANEURISMA DE ARTERIA ILIACA
I724;ANEURISMA DE ARTERIA DEL MIEMBRO INFERIOR
I728;ANEURISMA DE OTRAS ARTERIAS ESPECIFICADAS
I729;ANEURISMA DE SITIO NO ESPECIFICADO
I730;SINDROME DE RAYNAUD
I731;TROMBOANGEITIS OBLITERANTE [BUERGER]
I738;OTRAS ENFERMEDADES VASCULARES PERIFERICAS ESPECIFICADAS
I739;ENFERMEDAD VASCULAR PERIFERICA, NO ESPECIFICADA
I740;EMBOLIA Y TROMBOSIS DE LA AORTA ABDOMINAL
I741;EMBOLIA Y TROMBOSIS DE OTRAS PORCIONES Y LAS NO ESPECIFICADAS DE LA AORTA
I742;EMBOLIA Y TROMBOSIS DE ARTERIAS DE LOS MIEMBROS SUPERIORES
I743;EMBOLIA Y TROMBOSIS DE ARTERIAS DE LOS MIEMBROS INFERIORES
I744;EMBOLIA Y TROMBOSIS DE ARTERIAS DE LOS MIEMBROS, NO ESPECIFICADAS
I745;EMBOLIA Y TROMBOSIS DE ARTERIA ILIACA
I748;EMBOLIA Y TROMBOSIS DE OTRAS ARTERIAS
I749;EMBOLIA Y TROMBOSIS DE ARTERIA NO ESPECIFICADA
I770;FISTULA ARTERIOVENOSA, ADQUIRIDA
I771;ESTRECHEZ ARTERIAL
I772;RUPTURA ARTERIAL
I773;DISPLASIA FIBROMUSCULAR ARTERIAL
I774;SINDROME DE COMPRESION DEL TRONCO CELIACO
I775;NECROSIS ARTERIAL
I776;ARTERITIS, NO ESPECIFICADA
I778;OTROS TRASTORNOS ESPECIFICADOS DE ARTERIAS Y ARTERIOLAS
I779;TRASTORNOS DE ARTERIAS Y ARTERIOLAS, NO ESPECIFICADO
I780;TELANGIECTASIA HEMORRAGICA HEREDITARIA
I781;NEVO, NO NEOPLASICO
I788;OTRAS ENFERMEDADES DE LOS CAPILARES
I789;ENFERMEDAD DE LOS VASOS CAPILARES, NO ESPECIFICADA
I790*;ANEURISMA DE LA AORTA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I791*;AORTITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I792*;ANGIOPATIA PERIFERICA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I798*;OTROS TRASTORNOS DE ARTERIAS, ARTERIOLAS Y VASOS CAPILARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I800;FLEBITIS Y TROMBOFLEBITIS DE VASOS SUPERFICIALES DE LOS MIEMBROS INFERIORES
I801;FLEBITIS Y TROMBOFLEBITIS DE LA VENA FEMORAL
I802;FLEBITIS Y TROMBOFLEBITIS DE OTROS VASOS PROFUNDOS DE LOS MIEMBROS INFERIORES
I803;FLEBITIS Y TROMBOFLEBITIS DE LOS MIEMBROS INFERIORES, NO ESPECIFICADA
I808;FLEBITIS Y TROMBOFLEBITIS DE OTROS SITIOS
I809;FLEBITIS Y TROMBOFLEBITIS DE SITIO NO ESPECIFICADO
I81;TROMBOSIS DE LA VENA PORTA
I820;SINDROME DE BUDD-CHIARI
I821;TROMBOFLEBITIS MIGRATORIA
I822;EMBOLIA Y TROMBOSIS DE VENA CAVA
I823;EMBOLIA Y TROMBOSIS DE VENA RENAL
I828;EMBOLIA Y TROMBOSIS DE OTRAS VENAS ESPECIFICADAS
I829;EMBOLIA Y TROMBOSIS DE VENA NO ESPECIFICADA
I830;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON ULCERA
I831;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON INFLAMACION
I832;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON ULCERA E INFLAMACION
I839;VENAS VARICOSAS DE LOS MIEMBROS INFERIORES SIN ULCERA NI INFLAMACION
I840;HEMORROIDES INTERNAS TROMBOSADAS
I841;HEMORROIDES INTERNAS CON OTRAS COMPLICACIONES
I842;HEMORROIDES INTERNAS SIN COMPLICACION
I843;HEMORROIDES EXTERNAS TROMBOSADAS
I844;HEMORROIDES EXTERNAS CON OTRAS COMPLICACIONES
I845;HEMORROIDES EXTERNAS SIN COMPLICACION
I846;PROMINENCIAS CUTANEAS, RESIDUO DE HEMORROIDES
I847;HEMORROIDES TROMBOSADAS NO ESPECIFICADAS
I848;HEMORROIDES NO ESPECIFICADAS, CON OTRAS COMPLICACIONES
I849;HEMORROIDES NO ESPECIFICADAS, SIN COMPLICACION
I850;VARICES ESOFAGICAS CON HEMORRAGIA
I859;VARICES ESOFAGICAS SIN HEMORRAGIA
I860;VARICES SUBLINGUALES
I861;VARICES ESCROTALES
I862;VARICES PELVICAS
I863;VARICES DE LA VULVA
I864;VARICES GASTRICAS
I868;VARICES EN OTROS SITIOS ESPECIFICADOS
I870;SINDROME POSTFLEBITICO
I871;COMPRESION DE VENA
I872;INSUFICIENCIA VENOSA (CRONICA) (PERIFERICA)
I878;OTROS TRASTORNOS VENOSOS ESPECIFICADOS
I879;TRASTORNO VENOSO, NO ESPECIFICADO
I880;LINFADENITIS MESENTERICA INESPECIFICA
I881;LINFADENITIS CRONICA, EXCEPTO LA MESENTERICA
I888;OTRAS LINFADENITIS INESPECIFICAS
I889;LINFADENITIS INESPECIFICA NO ESPECIFICADA
I890;LINFEDEMA, NO CLASIFICADO EN OTRA PARTE
I891;LINFANGITIS
I898;OTROS TRASTORNOS ESPECIFICADOS NO INFECCIOSOS DE LOS VASOS Y GANGLIOS LINFATICOS
I899;TRASTORNO NO INFECCIOSO DE VASOS Y GANGLIOS LINFATICOS, NO ESPECIFICADO
I950;HIPOTENSION IDIOPATICA
I951;HIPOTENSION ORTOSTATICA
I952;HIPOTENSION DEBIDA A DROGAS
I958;OTROS TIPOS DE HIPOTENSION
I959;HIPOTENSION, NO ESPECIFICADA
I970;SINDROME DE POSTCARDIOTOMIA
I971;OTRAS ALTERACIONES FUNCIONALES CONSECUTIVAS A CIRUGIA CARDIACA
I972;SINDROME DE LINFEDEMA POSTMASTECTOMIA
I978;OTROS TRASTORNOS DEL SISTEMA CIRCULATORIO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
I979;TRASTORNO NO ESPECIFICADO DEL SISTEMA CIRCULATORIO CONSECUTIVO A PROCEDIMIENTOS
I980*;SIFILIS CARDIOVASCULAR
I981*;TRASTORNOS CARDIOVASCULARES EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
I982*;VARICES ESOFAGICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I988*;OTROS TRASTORNOS ESPECIFICADOS DEL APARATO CIRCULATORIO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I99;OTROS TRASTORNOS Y LOS NO ESPECIFICADOS DEL SISTEMA CIRCULATORIO
J00;RINOFARINGITIS AGUDA (RESFRIADO COMUN)
J010;SINUSITIS MAXILAR AGUDA
J011;SINUSITIS FRONTAL AGUDA
J012;SINUSITIS ETMOIDAL AGUDA
J013;SINUSITIS ESFENOIDAL AGUDA
J014;PANSINUSITIS AGUDA
J018;OTRAS SINUSITIS AGUDAS
J019;SINUSITIS AGUDA, NO ESPECIFICADA
J020;FARINGITIS ESTREPTOCOCICA
J028;FARINGITIS AGUDA DEBIDA A OTROS MICROORGANISMOS ESPECIFICADOS
J029;FARINGITIS AGUDA, NO ESPECIFICADA
J030;AMIGDALITIS ESTREPTOCOCICA
J038;AMIGDALITIS AGUDA DEBIDA A OTROS MICROORGANISMOS ESPECIFICADOS
J039;AMIGDALITIS AGUDA, NO ESPECIFICADA
J040;LARINGITIS AGUDA
J041;TRAQUEITIS AGUDA
J042;LARINGOTRAQUEITIS AGUDA
J050;LARINGITIS OBSTRUCTIVA, AGUDA [CRUP]
J051;EPIGLOTITIS AGUDA
J060;LARINGOFARINGITIS AGUDA
J068;OTRAS INFECCIONES AGUDAS DE SITIOS MULTIPLES DE LAS VIAS RESPIRATORIAS SUPERIORES
J069;INFECCION AGUDA DE LAS VIAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA
J100;INFLUENZA CON NEUMONIA, DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO
J101;INFLUENZA CON OTRAS MANIFESTACIONES RESPIRATORIAS, DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO
J108;INFLUENZA, CON OTRAS MANIFESTACIONES, DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO
J110;INFLUENZA CON NEUMONIA, VIRUS NO IDENTIFICADO
J111;INFLUENZA CON OTRAS MANIFESTACIONES RESPIRATORIAS, VIRUS NO IDENTIFICADO
J118;INFLUENZA CON OTRAS MANIFESTACIONES, VIRUS NO IDENTIFICADO
J120;NEUMONIA DEBIDA A ADENOVIRUS
J121;NEUMONIA DEBIDA A VIRUS SINCITIAL RESPIRATORIO
J122;NEUMONIA DEBIDA A VIRUS PARAINFLUENZA
J128;NEUMONIA DEBIDA A OTROS VIRUS
J129;NEUMONIA VIRAL, NO ESPECIFICADA
J13;NEUMONIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
J14;NEUMONIA DEBIDA A HAEMOPHILUS INFLUENZAE
J150;NEUMONIA DEBIDA A KLEBSIELLA PNEUMONIAE
J151;NEUMONIA DEBIDA A PSEUDOMONAS
J152;NEUMONIA DEBIDA A ESTAFILOCOCOS
J153;NEUMONIA DEBIDA A ESTREPTOCOCOS DEL GRUPO B
J154;NEUMONIA DEBIDA A OTROS ESTREPTOCOCOS
J155;NEUMONIA DEBIDA A ESCHERICHIA COLI
J156;NEUMONIA DEBIDA A OTRAS BACTERIAS AEROBICAS GRAMNEGATIVAS
J157;NEUMONIA DEBIDA A MYCOPLASMA PNEUMONIAE
J158;OTRAS NEUMONIAS BACTERIANAS
J159;NEUMONIA BACTERIANA, NO ESPECIFICADA
J160;NEUMONIA DEBIDA A CLAMIDIAS
J168;NEUMONIA DEBIDA A OTROS MICROORGANISMOS INFECCIOSOS ESPECIFICADOS
J170*;NEUMONIA EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
J171*;NEUMONIA EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE
J172*;NEUMONIA EN MICOSIS
J173*;NEUMONIA EN ENFERMEDADES PARASITARIAS
J178*;NEUMONIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
J180;BRONCONEUMONIA, NO ESPECIFICADA
J181;NEUMONÍA LOBAR, NO ESPECIFICADA
J182;NEUMONIA HIPOSTATICA, NO ESPECIFICADA
